Model,Rank,ID,WER,WER_Percent,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Reference
whisper-base,1,4XulH3TfbT0,1.0357,103.57%,203,M,SLOW,EAST,52.541,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu."
whisper-base,2,zk1lXf7Ceiw,1.0000,100.00%,176,M,SLOW,SOUTH,1.0,..
whisper-base,3,RZQTTfU9TNA,0.9130,91.30%,284,M,FAST,SOUTH,29.08,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138."
whisper-base,4,F_cYtK9hP4o,0.7600,76.00%,95,M,SLOW,SOUTH,20.81,"be 0.16.So, this is end of our second iteration. So, third iteration. I will let you figure it out.Now,RFEC of 3 equals 1.So, again j"
whisper-base,5,vlhnD_C2zWY,0.7500,75.00%,250,M,SLOW,EAST,2.11,"corpses, so shells, bones."
whisper-base,6,-2aOCNaOiLs,0.7500,75.00%,222,M,SLOW,SOUTH,4.989,considered in problem 45.
whisper-base,7,vlFdVYAXIxg,0.7391,73.91%,125,M,SLOW,EAST,25.89,"X 3 its fine, what about X 4, X 5, X 6, X 7? Now you see, W N Say W 8, N is 8 in our case .W 8, 5 W 8, 4 how much is it? Minus 1? W 8, 5 minus W 9,"
whisper-base,8,bJom-GAZ2eU,0.7059,70.59%,51,M,FAST,EAST,27.579,"these are the various cities. Within Kachchh region Anjar, Bhuj, Dholavira, Gandhidham, Mandavi; in the Saurashtra region Amreli, Bhavnagar, Dholera, Dwarka, Jamnagar, Junagadh, Morvi, Porbundar, Rajkot, Surendranagar, Veraval; and within Mainland Gujarat Ahmedabad, Baroach,"
whisper-base,9,vlImg6wCr8M,0.6786,67.86%,195,M,AVG,SOUTH,24.56,that is v0 = v01 which v1 x r2/r1 +v02 which is –v2 x r2/r1 so that is r2/r1 x v1-v2. so ultimately what we conclude is this is an amplifier which uses an output = the difference between the 2 v1-v2. if v1 is connected to this + terminal v2 is connected to – terminal
whisper-base,10,CPP29SU0cco,0.6667,66.67%,296,F,AVG,EAST,1.0,What is this?
whisper-base,11,I5JVtCZVpm8,0.6364,63.64%,321,M,FAST,SOUTH,8.689,Hi. I'm Prabhakar. I'm going to talk to you about the World Wide Web today. So what is the World Wide Web?
whisper-base,12,nwcOtus_7eo,0.6190,61.90%,230,M,SLOW,NORTH,13.909,"This is k1 and this is y; that means, k1 y is equal to k2 x minus k2y. Therefore, y is"
whisper-base,13,4yCE67VwYJA,0.5789,57.89%,146,M,SLOW,EAST,8.63,"Rather, we should try to maximise our happiness possible. Well. The Buddha is still not convinced. The Buddha’s claim."
whisper-base,14,coLQ8EfZTQI,0.5536,55.36%,161,M,SLOW,SOUTH,25.34,"We get theta equal to 125.75. The forth one is the pattern that leaves, so this is the pattern that leaves and this pattern is going to be replaced by the pattern 0 1 0 2. The new basis will now become 0 0 0 3, which is the last pattern, will be replaced by 125.75."
whisper-base,15,8wlFZEVp7nw,0.5333,53.33%,310,F,FAST,NORTH,10.949,"rules. . Rules of this method are, first is called the basic rule. .. Basic rule, just now as I had explained you, that is for second order linear differential"
whisper-base,16,HQSgTo0Er5c,0.5102,51.02%,44,M,AVG,EAST,24.54,"So, O plus O 2 then C l O plus O giving rise to C l plus O 2, O plus O 3 giving rise to O 2 plus O 2, so net reaction from this, we can write 2 O 3 giving rise to 3 O 2. So,"
whisper-base,17,E-r2EDS0uP4,0.5000,50.00%,226,M,SLOW,NORTH,29.75,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which"
whisper-base,18,jtMZfLViZu8,0.4930,49.30%,224,M,SLOW,NORTH,37.02,"thetayi, and wi at each of these 4 nodes which have coordinates xi tau, yi tau in this expanded form. How many values we have? We have 12 values; it is a twelfth order, there are terms in this expression. We can write it as, this whole thing wi, w1 thetay1, thetax1, then w2, thetay2, thetax2 up to all the way down to w4, thetay4, thetax4 this is equal to this"
whisper-base,19,UugCD-SaRFg,0.4889,48.89%,160,M,AVG,SOUTH,23.881,"is called as your quick assets. So. quick assets divided by current liabilities gives you quick ratio. So, let us calculate the quick ratio of NTPC for 2012. So, the quick ratio is quick assets by current liabilities quick assets is nothing but 38912.52 crores,"
whisper-base,20,YrkbOeF7wFw,0.4844,48.44%,12,M,AVG,EAST,29.329,"is M R 1 times M R 2 times M R 3, etcetera. So, M R 1 times M R 2 times M R 3 etcetera up to M R n is equal to M R naught – overall ratio, because that is what we started from. So, overall mass ratio is given like this. So, we see that, the overall mass ratio is"
whisper-medium,1,zk1lXf7Ceiw,4.0000,400.00%,176,M,SLOW,SOUTH,1.0,..
whisper-medium,2,E-r2EDS0uP4,1.6667,166.67%,226,M,SLOW,NORTH,29.75,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which"
whisper-medium,3,vf0S_1ZITuA,1.5500,155.00%,203,M,SLOW,EAST,32.75,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign"
whisper-medium,4,tsdoIka0mEg,1.4375,143.75%,175,M,SLOW,NORTH,28.91,"R, then alpha belongs to R, R, the number alpha itself, the number alpha itself may"
whisper-medium,5,4XulH3TfbT0,1.3571,135.71%,203,M,SLOW,EAST,52.541,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu."
