split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,zk1lXf7Ceiw,176,M,SLOW,SOUTH,1.0,Non-Engineering,Higher Order BVPs,normalized,Normalised_Transcript,.,.,can be written as,can be written as,4.0
test,AfQRHoPr2Fs,183,M,FAST,SOUTH,25.97,Non-Engineering,Gluing (n+1) copies of Affine n-Space to Produce Projective n-space in Topology,normalized,Normalised_Transcript,the homogeneity property it can be defined in more than one way and to explain that lets look at an example ok. So suppose you take a suppose we take a point lambda knot lambda N in projective space and,the homogeneity property it can be defined in more than one way and to explain that lets look at an example ok. So suppose you take a suppose we take a point lambda knot lambda N in projective space and,the homogeneity property it can be defined in more than one way and to explain that let us look at an example okay. So suppose you take suppose we take a point lambda not lambda n in projective space and say we take R R plus H is the time that the American library determines the hvor Foot c hat is the volume of the mostrar I put it this way and the last one there 밀ống步 we gentlemen we conclude that equation to the expression of the Brownian rhoision within the calm Stew wobble. I want to say something at least.漏 so to speak. Let's. Care should mean that I always do something I always would. Again I am doch да.,the homogeneity property it can be defined in more than one way and to explain that let us look at an example okay so suppose you take suppose we take a point lambda not lambda n in projective space and say we take r r plus h is the time that the american library determines the hvor foot c hat is the volume of the mostrar i put it this way and the last one there 밀ong步 we gentlemen we conclude that equation to the expression of the brownian rhoision within the calm stew wobble i want to say something at least 漏 so to speak let us care should mean that i always do something i always would again i am doch да,2.275
test,LVGVc3ryNkI,46,F,SLOW,NORTH,24.0,Non-Engineering,Advance Analytical Course,normalized,Normalised_Transcript,extraction and enzymatic hydrolysis so now you see that from the classical methods of just simple digestion or simply wet oxidation and ashing now five new or six new sample preparation methods have come up in the recent trend microwave acid,extraction and enzymatic hydrolysis so now you see that from the classical methods of just simple digestion or simply wet oxidation and ashing now five new or six new sample preparation methods have come up in the recent trend microwave acid,"USLE and enzymatic hydrolysis. So, now you see that from the classical methods of just simple digestion or simply wet oxidation and ashing, now 5 new or 6 new sample preparation methods have come up in the recent trend. Okay? And so now these you picked. Adrian, would you like to share some examples of- Yes, of course. It's just that we were putting 국� kosten вы voulez market you And you're, you're not using the emerging reading brand right now, to keep track of Electrophages? Yeah. Oh, no. Yeah. I'm sorry. Thank you. …äre, are these weak and hard-possessing. What? Are these also not ready- tus les? Yeah. Equally it's helpful. Oh, continue. All right. Alright. Do you need to那.",usle and enzymatic hydrolysis so now you see that from the classical methods of just simple digestion or simply wet oxidation and ashing now 5 new or 6 new sample preparation methods have come up in the recent trend okay and so now these you picked adrian would you like to share some examples of yes of course it is just that we were putting 국 kosten вы voulez market you and you are you are not using the emerging reading brand right now to keep track of electrophages yeah 0 no yeah i am sorry thank you . are are these weak and hard possessing what are these also not ready tus les yeah equally it is helpful 0 continue all right alright do you need to那,2.2439
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,normalized,Normalised_Transcript,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen, c times n minus 1 minus 2j. Sorry, this is, I made a mistake here, j2 is 1, but j2 is 2j2. So, this should be counted as 2 into 1, that is 2, and j is 5. So, f is c into 4 minus 2 into 5, which is 2.",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8333
test,MbKrIieogNc,126,M,AVG,EAST,28.11,Engineering,29 Pneumatic Control Systems - I,normalized,Normalised_Transcript,so you need only apply pneumatic pressure for moving the valve to the right for moment to the left is achieved by the spring similarly if you connect it to this position then what happens is that the pressure gets connected here and then when this valve is,so you need only apply pneumatic pressure for moving the valve to the right for moment to the left is achieved by the spring similarly if you connect it to this position then what happens is that the pressure gets connected here and then when this valve is,"So, you need only apply pneumatic pressure for moving the valve to the right from movement to the left is actually achieved by this spring. Similarly, if you connect it to this position then what happens is that the pressure gets connected here and then when this valve is connected to the spring, the pressure is going to be applied to the right from the left. So, if you connect this spring to the left, then what happens is that the pressure gets connected to the right from the left. So, this is the spring that is connected to the left from the right. So, you need only apply pneumatic pressure to this spring.",so you need only apply pneumatic pressure for moving the valve to the right from movement to the left is actually achieved by this spring similarly if you connect it to this position then what happens is that the pressure gets connected here and then when this valve is connected to the spring the pressure is going to be applied to the right from the left so if you connect this spring to the left then what happens is that the pressure gets connected to the right from the left so this is the spring that is connected to the left from the right so you need only apply pneumatic pressure to this spring,1.4375
test,aGvMubj8NXk,103,M,SLOW,SOUTH,17.03,Engineering,24 Programmed I/O,normalized,Normalised_Transcript,register we can use them for different purposes this is the fundamental basic requirement so now you can see assuming the device has prepared the data and then put in the data,register we can use them for different purposes this is the fundamental basic requirement so now you can see assuming the device has prepared the data and then put in the data,"register we can use for different purpose. Just one for example we are seeing now, this is fundamental basic thing anyway requirement. So now you can see assuming the device has prepared the data and then put in the data either in his hand. So and This is going to show up in like you a few minutes which is really Good tomb. It says from its� So but This 아ской",register we can use for different purpose just one for example we are seeing now this is fundamental basic thing anyway requirement so now you can see assuming the device has prepared the data and then put in the data either in his hand so and this is going to show up in like you a few minutes which is really good tomb it says from its so but this 아скои,1.375
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,normalized,Normalised_Transcript,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by, so it is h square by, so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2. So, this is the",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 so this is the,1.35
test,o9ueYSKj9og,219,M,FAST,EAST,16.951,Engineering,of Ideal Gases,normalized,Normalised_Transcript,for example here if we see for any component kth component let us write for kth component that is equal to nk r bar t if we now substitute r bar t as sigma n like this that means nk,for example here if we see for any component kth component let us write for kth component that is equal to nk r bar t if we now substitute r bar t as sigma n like this that means nk,example here. Now if you see for any component kth component let us write for kth component that is equal to nk r bar t and if you substitute r bar t as sigma n like this that means nk r bar t is equal to nk r bar t. So if you substitute r bar t as sigma n like this then you will get this. Now if you substitute r bar t as sigma n like this then you will get this. Now if you substitute,example here now if you see for any component kth component let us write for kth component that is equal to nk r bar t and if you substitute r bar t as sigma n like this that means nk r bar t is equal to nk r bar t so if you substitute r bar t as sigma n like this then you will get this now if you substitute r bar t as sigma n like this then you will get this now if you substitute,1.35
test,kPnr_57oii4,290,M,SLOW,EAST,29.74,Engineering,Other matching networks,normalized,Normalised_Transcript,course assuming that q is large so what is this,course assuming that q is large so what is this,"course, assuming that Q is large, assuming that Q is large. So, what is this? So, what is this? So, what is this?",course assuming that q is large assuming that q is large so what is this so what is this so what is this,1.3
test,9rEn4MNpZS4,211,M,SLOW,EAST,21.67,Engineering,Approximate Methods - II,normalized,Normalised_Transcript,fixed and free ends so once again,fixed and free ends so once again,"fixed and the free ends. So, once again do it and then we're done. 1",fixed and the free ends so once again do it and then we are done one,1.2857
